Index,Name,Length
1,V1,"6.112, 4.043"
2,V2,"6.181, 4.446"
3,V3,"5.904, 3.980"
4,V4,"6.468, 4.082"
5,V5,"6.295, 4.667"
6,V6,"5.744, 4.499"
7,V7,"6.591, 4.746"
8,V8,"6.251, 4.110"
9,V9,"6.299, 4.561"
10,V10,"6.450, 4.430"
11,V11,"6.405, 4.631"
12,V12,"6.525, 4.624"
13,V13,"6.254, 4.584"
14,V14,"6.603, 4.833"
15,V15,"6.533, 4.484"
16,V16,"6.553, 5.192"
17,V17,"6.106, 4.166"
18,V18,"6.597, 4.540"
19,V19,"6.988, 5.178"
20,V20,"6.736, 4.561"
21,V21,"7.522, 4.995"
22,V22,"6.089, 4.078"
23,V23,"6.622, 4.648"
24,V24,"5.977, 4.096"
25,V25,"5.952, 4.581"
26,V26,"6.043, 4.374"
27,V27,"6.608, 4.769"
28,V28,"6.393, 4.377"
29,V29,"5.959, 4.138"
30,V30,"7.082, 5.047"
31,V31,"7.005, 4.715"
32,V32,"6.600, 4.775"
33,V33,"6.192, 4.667"
34,V34,"6.132, 4.201"
35,V35,"6.080, 4.461"
36,V36,"6.808, 5.217"
37,V37,"5.913, 4.092"
38,V38,"6.740, 4.435"
39,V39,"6.422, 4.624"
40,V40,"6.229, 4.375"
41,V41,"6.771, 4.561"
42,V42,"5.859, 4.576"
43,V43,"6.637, 4.795"
44,V44,"6.535, 4.516"
45,V45,"6.220, 4.060"
46,V46,"6.132, 4.179"
47,V47,"6.260, 4.273"
48,V48,"6.137, 4.289"
49,V49,"6.508, 4.367"
50,V50,"6.365, 4.289"
51,V51,"6.936, 4.435"
52,V52,"6.038, 4.397"
53,V53,"5.963, 4.364"
54,V54,"6.413, 4.254"
55,V55,"5.581, 4.346"
56,V56,"6.274, 4.620"
57,V57,"6.845, 4.611"
58,V58,"6.033, 4.403"
59,V59,"6.577, 4.525"
60,V60,"6.710, 4.345"
61,V61,"6.263, 4.676"
