Index,Name,Length
1,V1,"8.177, 5.515"
2,V2,"7.788, 5.722"
3,V3,"8.236, 6.383"
4,V4,"7.477, 5.415"
5,V5,"8.061, 5.910"
6,V6,"7.408, 5.309"
7,V7,"6.944, 5.292"
8,V8,"7.323, 5.738"
9,V9,"6.957, 5.231"
10,V10,"7.605, 6.101"
11,V11,"7.302, 5.730"
12,V12,"8.462, 5.852"
13,V13,"7.985, 6.112"
14,V14,"7.186, 5.518"
15,V15,"7.634, 5.702"
16,V16,"7.780, 5.516"
17,V17,"6.863, 5.997"
18,V18,"6.730, 5.232"
19,V19,"7.286, 5.187"
20,V20,"7.016, 5.338"
21,V21,"7.386, 5.963"
22,V22,"8.505, 5.832"
23,V23,"7.783, 5.613"
24,V24,"8.938, 5.908"
25,V25,"7.236, 5.481"
26,V26,"7.069, 5.556"
27,V27,"6.560, 5.490"
28,V28,"7.296, 5.207"
1,V1,"7.798, 5.632"
2,V2,"6.681, 5.045"
3,V3,"7.551, 5.359"
4,V4,"7.517, 5.546"
5,V5,"7.757, 5.871"
6,V6,"7.527, 5.071"
7,V7,"8.061, 5.438"
8,V8,"6.645, 6.044"
9,V9,"8.369, 4.761"
10,V10,"8.624, 5.060"
11,V11,"6.298, 4.814"
12,V12,"7.983, 5.483"
13,V13,"6.411, 5.593"
14,V14,"8.374, 6.054"
15,V15,"7.408, 5.181"
16,V16,"7.964, 5.738"
17,V17,"6.881, 5.269"
18,V18,"8.213, 5.721"
19,V19,"8.008, 5.584"
20,V20,"8.100, 6.511"
21,V21,"7.625, 5.651"
22,V22,"7.517, 4.653"
23,V23,"7.160, 5.403"
24,V24,"7.356, 5.095"
25,V25,"7.218, 5.208"
26,V26,"6.923, 4.417"
27,V27,"6.492, 5.159"
28,V28,"7.073, 5.888"
